Transaction,Item
100,cheese
101,eggs
101,coffee
101,butter
102,eggs
102,bread
102,apple
102,juice
102,butter
103,chocolate
103,coffee
103,banana
104,coffee
105,coffee
105,yogurt
105,milk
105,juice
105,eggs
106,juice
107,milk
107,juice
108,coffee
108,chocolate
108,cheese
108,eggs
108,yogurt
109,coffee
110,bread
110,yogurt
111,juice
112,cheese
112,chocolate
112,apple
113,apple
114,eggs
114,apple
115,cheese
115,bread
115,coffee
116,yogurt
116,milk
116,banana
116,apple
117,bread
117,eggs
118,milk
119,eggs
120,eggs
120,milk
120,banana
120,cheese
120,coffee
121,bread
121,milk
121,eggs
121,butter
122,banana
123,milk
123,apple
123,bread
124,bread
125,eggs
126,chocolate
126,juice
127,milk
127,apple
127,eggs
127,butter
127,yogurt
128,bread
128,cheese
128,eggs
128,butter
129,yogurt
129,juice
129,butter
129,apple
130,eggs
130,bread
131,banana
132,banana
132,apple
133,banana
133,chocolate
133,coffee
133,bread
134,juice
134,butter
135,butter
135,yogurt
136,yogurt
136,milk
136,eggs
136,banana
137,milk
137,banana
137,coffee
137,apple
138,juice
138,bread
138,chocolate
138,butter
139,banana
139,apple
139,bread
139,yogurt
140,chocolate
140,eggs
140,bread
140,cheese
140,apple
141,apple
141,banana
142,juice
142,butter
142,coffee
143,banana
143,cheese
143,milk
144,eggs
145,juice
145,bread
145,cheese
145,chocolate
145,apple
146,milk
147,milk
147,bread
147,banana
148,butter
148,yogurt
148,cheese
148,milk
149,milk
149,bread
149,eggs
150,banana
150,cheese
150,apple
150,milk
151,juice
151,milk
152,juice
153,juice
153,banana
153,coffee
154,banana
155,apple
155,butter
155,banana
155,cheese
156,milk
156,butter
156,juice
156,coffee
156,eggs
157,milk
158,apple
158,eggs
158,juice
158,cheese
159,butter
159,apple
159,cheese
159,yogurt
160,butter
160,apple
161,yogurt
161,coffee
161,butter
161,banana
162,banana
162,apple
162,bread
162,yogurt
163,milk
163,coffee
163,bread
163,yogurt
163,cheese
164,banana
164,coffee
164,juice
165,apple
165,yogurt
165,chocolate
166,banana
166,milk
166,bread
167,bread
167,cheese
167,eggs
168,cheese
168,bread
169,coffee
169,juice
169,cheese
170,banana
170,milk
170,chocolate
171,juice
172,juice
172,coffee
173,juice
173,yogurt
173,banana
173,apple
173,chocolate
174,banana
174,yogurt
174,juice
174,coffee
174,butter
175,cheese
175,butter
175,coffee
175,milk
175,bread
176,eggs
176,juice
176,bread
176,banana
177,milk
178,chocolate
178,eggs
178,apple
178,milk
179,banana
179,bread
179,apple
180,chocolate
180,butter
180,bread
180,apple
180,juice
181,eggs
181,banana
182,butter
182,bread
182,juice
182,chocolate
182,apple
183,apple
183,juice
183,cheese
184,bread
184,cheese
184,eggs
184,yogurt
185,juice
185,chocolate
186,butter
186,chocolate
186,yogurt
187,cheese
187,eggs
188,butter
188,milk
188,chocolate
188,bread
189,juice
189,apple
190,juice
190,coffee
190,cheese
190,bread
191,eggs
191,cheese
191,banana
191,chocolate
191,apple
192,juice
192,coffee
192,apple
193,bread
193,chocolate
193,eggs
194,milk
194,juice
194,banana
194,coffee
195,coffee
195,juice
195,bread
195,banana
195,chocolate
196,chocolate
196,yogurt
196,bread
197,bread
197,milk
197,chocolate
197,eggs
198,coffee
198,milk
198,eggs
198,chocolate
199,butter
199,cheese
199,juice
199,apple
199,banana
200,butter
200,eggs
200,juice
200,chocolate
201,banana
202,bread
203,coffee
203,juice
203,butter
204,cheese
204,apple
204,bread
205,bread
205,coffee
205,banana
206,coffee
206,chocolate
206,yogurt
207,cheese
207,eggs
207,yogurt
207,apple
208,juice
208,apple
208,banana
208,coffee
209,juice
209,eggs
210,cheese
210,juice
211,apple
211,yogurt
211,cheese
212,banana
212,eggs
213,eggs
213,juice
214,cheese
214,banana
215,juice
216,chocolate
217,banana
217,apple
217,eggs
217,cheese
218,cheese
218,juice
219,coffee
219,apple
219,chocolate
219,juice
219,banana
220,cheese
220,banana
221,bread
221,eggs
221,chocolate
221,coffee
221,banana
222,chocolate
222,cheese
222,banana
223,yogurt
223,butter
223,eggs
224,banana
224,milk
224,butter
224,yogurt
224,eggs
225,juice
225,bread
225,coffee
225,banana
226,bread
226,banana
226,apple
227,bread
228,apple
228,chocolate
228,yogurt
229,juice
230,yogurt
231,bread
231,banana
232,yogurt
232,butter
232,juice
232,cheese
233,eggs
233,juice
233,chocolate
234,milk
234,bread
235,coffee
235,bread
236,apple
236,butter
236,juice
236,chocolate
236,bread
237,coffee
237,butter
237,milk
237,chocolate
237,yogurt
238,bread
239,banana
240,eggs
240,banana
240,yogurt
241,milk
241,apple
241,eggs
241,butter
241,bread
242,yogurt
242,butter
242,banana
242,juice
243,apple
244,yogurt
244,banana
245,apple
245,yogurt
246,cheese
246,milk
247,yogurt
247,coffee
247,chocolate
247,juice
248,bread
248,juice
248,coffee
249,apple
249,milk
249,butter
250,apple
250,butter
250,eggs
251,eggs
252,apple
252,cheese
252,juice
253,juice
253,chocolate
253,banana
253,apple
254,banana
254,eggs
255,chocolate
255,cheese
256,bread
257,banana
257,chocolate
257,milk
258,butter
259,eggs
260,juice
260,yogurt
260,banana
261,bread
261,eggs
262,yogurt
262,butter
262,chocolate
263,cheese
263,yogurt
263,eggs
264,eggs
265,butter
265,juice
266,chocolate
266,eggs
267,juice
267,bread
267,chocolate
267,eggs
268,coffee
268,cheese
268,apple
268,banana
269,cheese
270,milk
270,eggs
270,coffee
270,chocolate
270,bread
271,chocolate
271,bread
272,chocolate
272,cheese
272,bread
272,banana
273,juice
273,bread
274,bread
275,coffee
275,milk
275,eggs
275,chocolate
275,banana
276,juice
276,coffee
277,eggs
277,banana
278,coffee
278,apple
278,bread
279,cheese
279,butter
279,milk
280,yogurt
280,chocolate
280,cheese
280,coffee
281,bread
281,apple
281,butter
281,eggs
281,milk
282,apple
282,banana
282,butter
282,juice
283,cheese
283,banana
283,milk
283,juice
283,coffee
284,coffee
285,eggs
285,cheese
285,juice
286,juice
286,cheese
286,eggs
286,coffee
286,butter
287,chocolate
287,cheese
288,chocolate
288,butter
289,juice
289,apple
289,yogurt
290,bread
290,juice
291,juice
291,yogurt
292,eggs
293,butter
293,coffee
293,yogurt
294,banana
294,milk
294,apple
294,chocolate
295,bread
296,coffee
297,chocolate
297,banana
298,yogurt
298,milk
298,cheese
298,apple
299,cheese
299,milk
299,banana
299,apple
299,juice
300,butter
300,bread
301,milk
301,butter
302,apple
302,butter
302,juice
302,bread
303,juice
303,cheese
304,chocolate
304,yogurt
304,bread
304,butter
304,coffee
305,eggs
305,yogurt
305,juice
305,chocolate
306,milk
306,banana
307,banana
307,coffee
308,butter
308,yogurt
308,banana
308,chocolate
308,milk
309,yogurt
309,eggs
309,coffee
310,eggs
310,butter
310,juice
310,chocolate
311,bread
311,juice
311,milk
311,eggs
312,chocolate
312,apple
312,yogurt
312,banana
313,butter
314,eggs
314,juice
314,apple
315,banana
315,apple
315,bread
315,chocolate
315,juice
316,banana
316,yogurt
316,butter
316,coffee
317,milk
318,butter
318,milk
319,chocolate
320,eggs
320,milk
320,cheese
321,apple
321,yogurt
322,coffee
322,yogurt
323,coffee
323,bread
323,milk
324,banana
324,cheese
324,eggs
324,bread
325,yogurt
325,coffee
326,coffee
326,butter
327,bread
327,coffee
327,apple
328,coffee
328,butter
328,yogurt
329,coffee
329,apple
329,banana
329,bread
329,eggs
330,bread
330,butter
330,cheese
330,chocolate
331,bread
332,apple
332,juice
332,butter
332,bread
333,milk
334,milk
334,yogurt
334,eggs
335,butter
335,apple
335,banana
335,cheese
335,chocolate
336,coffee
336,juice
337,banana
337,cheese
337,apple
337,chocolate
337,milk
338,cheese
338,apple
339,coffee
339,bread
339,apple
340,butter
340,bread
340,juice
340,apple
341,coffee
341,yogurt
341,bread
342,chocolate
342,juice
342,coffee
342,butter
343,apple
343,milk
343,coffee
343,eggs
343,banana
344,cheese
345,yogurt
345,milk
345,butter
345,apple
346,cheese
347,milk
347,eggs
347,juice
347,bread
347,yogurt
348,banana
348,yogurt
348,butter
348,cheese
348,bread
349,eggs
349,juice
349,chocolate
349,apple
349,yogurt
350,coffee
350,banana
351,bread
351,juice
351,butter
352,milk
352,eggs
352,coffee
353,cheese
353,chocolate
353,bread
354,chocolate
354,milk
354,yogurt
354,juice
354,coffee
355,banana
355,yogurt
356,yogurt
356,coffee
356,cheese
357,yogurt
357,chocolate
357,apple
357,juice
357,eggs
358,bread
359,coffee
359,cheese
360,banana
360,yogurt
360,milk
361,butter
361,milk
361,eggs
362,eggs
362,coffee
363,apple
363,butter
364,butter
364,milk
364,banana
364,cheese
365,juice
365,yogurt
365,butter
366,milk
366,banana
366,yogurt
367,butter
367,yogurt
367,bread
368,butter
368,juice
368,banana
368,yogurt
369,cheese
370,bread
370,chocolate
370,yogurt
370,banana
370,juice
371,apple
371,eggs
372,milk
372,bread
372,eggs
373,cheese
373,juice
373,yogurt
373,eggs
374,banana
374,butter
374,juice
374,coffee
374,cheese
375,juice
376,cheese
376,chocolate
376,eggs
377,cheese
377,milk
377,bread
378,cheese
378,chocolate
378,coffee
378,juice
379,apple
380,milk
380,butter
380,coffee
380,eggs
380,apple
381,coffee
381,chocolate
381,juice
382,milk
382,juice
382,bread
382,eggs
383,eggs
384,banana
384,bread
385,coffee
385,milk
385,banana
385,bread
386,yogurt
386,bread
386,coffee
386,banana
387,chocolate
387,milk
387,coffee
388,butter
388,apple
388,milk
388,bread
389,bread
389,milk
389,butter
389,chocolate
389,coffee
390,juice
390,cheese
391,bread
392,cheese
392,bread
392,eggs
393,milk
393,juice
394,coffee
394,banana
395,juice
395,coffee
395,milk
396,chocolate
396,yogurt
396,milk
396,apple
396,cheese
397,milk
397,butter
397,cheese
397,apple
398,cheese
398,eggs
399,cheese
399,coffee
399,chocolate
399,yogurt
400,eggs
400,cheese
401,bread
401,juice
401,milk
402,coffee
402,juice
402,chocolate
402,cheese
402,yogurt
403,apple
403,chocolate
403,butter
403,juice
403,coffee
404,cheese
404,chocolate
404,eggs
405,eggs
405,banana
405,apple
405,milk
406,juice
407,eggs
407,butter
408,milk
408,yogurt
408,butter
408,eggs
408,bread
409,coffee
410,bread
410,chocolate
410,apple
410,juice
411,yogurt
411,eggs
412,cheese
412,bread
412,banana
412,chocolate
412,butter
413,bread
414,milk
414,butter
414,cheese
414,juice
415,cheese
415,banana
415,yogurt
415,apple
415,bread
416,cheese
416,coffee
417,apple
417,eggs
417,coffee
418,yogurt
419,banana
419,coffee
419,eggs
419,bread
420,yogurt
420,butter
420,apple
420,banana
420,juice
421,apple
421,coffee
421,bread
422,yogurt
423,coffee
423,yogurt
423,milk
423,chocolate
424,eggs
424,bread
424,juice
424,butter
425,bread
426,butter
426,coffee
427,banana
428,chocolate
428,bread
428,butter
428,coffee
428,banana
429,chocolate
429,eggs
429,banana
430,coffee
430,cheese
431,bread
431,eggs
431,milk
431,apple
432,butter
432,yogurt
433,yogurt
433,coffee
434,apple
434,yogurt
434,banana
434,cheese
435,bread
435,juice
435,chocolate
435,milk
435,butter
436,chocolate
436,butter
436,coffee
436,eggs
437,butter
438,apple
438,banana
438,milk
438,eggs
439,apple
439,chocolate
439,yogurt
439,juice
439,milk
440,yogurt
441,eggs
441,milk
441,apple
441,yogurt
442,milk
443,apple
443,chocolate
444,butter
444,coffee
445,coffee
445,bread
445,yogurt
445,apple
446,chocolate
446,apple
446,yogurt
447,apple
448,cheese
448,yogurt
448,apple
449,coffee
449,butter
449,chocolate
449,bread
449,cheese
450,milk
451,milk
451,cheese
451,eggs
451,chocolate
452,coffee
453,milk
454,apple
454,butter
455,apple
455,yogurt
455,chocolate
455,coffee
456,cheese
456,chocolate
457,chocolate
457,butter
458,coffee
459,bread
459,butter
459,coffee
460,bread
461,cheese
462,juice
462,bread
463,butter
463,eggs
463,juice
463,chocolate
463,yogurt
464,butter
465,bread
465,milk
465,eggs
466,cheese
466,chocolate
466,apple
467,milk
467,eggs
467,butter
467,banana
467,chocolate
468,milk
468,apple
468,butter
468,juice
469,eggs
469,bread
470,juice
471,cheese
472,milk
472,bread
473,juice
473,milk
473,cheese
473,coffee
474,banana
474,cheese
475,yogurt
475,banana
475,chocolate
475,bread
476,eggs
476,coffee
476,butter
476,bread
476,milk
477,banana
478,eggs
478,yogurt
479,yogurt
479,milk
479,eggs
479,apple
479,coffee
480,butter
480,milk
480,bread
480,chocolate
481,chocolate
481,butter
481,milk
481,juice
482,yogurt
482,butter
482,bread
482,cheese
482,apple
483,eggs
483,milk
483,cheese
484,coffee
484,cheese
484,apple
484,butter
485,apple
486,milk
486,banana
486,eggs
487,juice
487,apple
488,banana
488,bread
489,cheese
489,yogurt
490,cheese
490,yogurt
490,chocolate
491,banana
491,bread
491,chocolate
491,coffee
492,juice
493,milk
493,juice
494,yogurt
494,butter
495,banana
495,milk
495,juice
495,cheese
496,juice
497,juice
497,chocolate
497,butter
498,juice
498,yogurt
498,coffee
498,banana
499,milk
500,banana
500,butter
500,eggs
500,apple
501,chocolate
501,juice
501,milk
501,yogurt
501,coffee
502,cheese
502,milk
502,eggs
502,chocolate
502,apple
503,eggs
503,chocolate
503,bread
503,apple
503,yogurt
504,eggs
504,juice
504,bread
505,juice
505,apple
506,yogurt
506,banana
506,butter
506,juice
507,chocolate
507,butter
507,coffee
507,eggs
507,bread
508,yogurt
508,cheese
508,butter
509,yogurt
509,coffee
509,apple
510,milk
511,milk
511,banana
511,apple
512,juice
512,eggs
512,bread
512,coffee
513,juice
514,bread
514,cheese
514,banana
514,coffee
514,milk
515,chocolate
516,yogurt
516,juice
516,milk
517,butter
517,bread
517,eggs
517,coffee
517,apple
518,butter
518,coffee
518,yogurt
518,milk
518,eggs
519,yogurt
519,coffee
519,butter
520,eggs
521,bread
521,butter
521,cheese
522,juice
522,coffee
522,banana
523,butter
524,yogurt
524,banana
524,eggs
524,cheese
525,butter
525,milk
525,juice
525,coffee
526,eggs
526,chocolate
526,cheese
526,banana
526,yogurt
527,coffee
527,eggs
528,banana
528,juice
528,milk
529,eggs
529,juice
530,butter
531,milk
531,bread
532,butter
533,juice
533,bread
534,apple
534,yogurt
534,butter
535,milk
535,apple
535,cheese
535,bread
536,apple
536,coffee
536,bread
536,chocolate
536,milk
537,eggs
537,yogurt
537,chocolate
537,bread
537,juice
538,cheese
538,eggs
538,apple
539,banana
539,coffee
539,apple
539,chocolate
539,yogurt
540,butter
541,coffee
541,cheese
541,chocolate
542,butter
542,yogurt
542,coffee
542,cheese
543,bread
543,chocolate
543,cheese
544,juice
544,coffee
544,cheese
544,bread
545,yogurt
546,milk
546,coffee
547,apple
548,bread
548,coffee
549,butter
549,chocolate
549,apple
549,milk
550,butter
551,cheese
551,juice
551,bread
551,chocolate
551,eggs
552,chocolate
552,milk
552,eggs
552,juice
552,banana
553,juice
553,milk
553,cheese
553,apple
554,chocolate
554,yogurt
555,cheese
555,eggs
555,milk
555,apple
555,yogurt
556,coffee
557,eggs
557,yogurt
557,apple
557,juice
558,butter
559,yogurt
560,chocolate
561,cheese
561,milk
561,banana
561,yogurt
561,bread
562,banana
562,milk
562,eggs
562,juice
563,yogurt
563,juice
563,eggs
564,bread
564,coffee
564,milk
564,chocolate
564,eggs
565,milk
565,cheese
565,chocolate
566,banana
566,chocolate
566,bread
566,apple
567,butter
567,bread
567,coffee
568,bread
568,eggs
568,milk
568,coffee
569,eggs
569,milk
569,coffee
569,chocolate
570,juice
571,butter
571,yogurt
572,chocolate
573,eggs
573,milk
573,bread
573,yogurt
574,cheese
575,coffee
576,banana
576,bread
576,yogurt
577,coffee
577,milk
578,banana
578,milk
578,apple
578,eggs
579,bread
579,yogurt
579,banana
580,chocolate
580,banana
580,milk
580,butter
581,eggs
582,yogurt
582,eggs
582,milk
582,cheese
582,butter
583,banana
583,milk
584,butter
585,chocolate
585,juice
585,eggs
585,butter
586,eggs
586,apple
586,banana
587,apple
587,cheese
588,cheese
588,coffee
588,chocolate
588,juice
588,banana
589,butter
589,eggs
589,chocolate
590,yogurt
590,apple
590,bread
590,chocolate
591,bread
591,butter
591,eggs
591,coffee
592,cheese
592,yogurt
593,yogurt
593,butter
594,butter
594,chocolate
594,cheese
594,juice
595,butter
595,cheese
595,yogurt
596,bread
597,coffee
597,apple
597,butter
598,banana
598,juice
599,coffee
599,eggs
599,chocolate
599,milk
599,bread
600,juice
600,apple
600,butter
600,coffee
601,yogurt
602,coffee
602,butter
602,cheese
602,bread
603,coffee
603,eggs
603,bread
603,yogurt
604,butter
604,apple
604,juice
605,butter
605,banana
605,milk
605,bread
606,banana
606,butter
606,eggs
606,milk
606,yogurt
607,chocolate
607,milk
608,juice
608,coffee
608,bread
608,milk
609,coffee
609,chocolate
609,banana
610,juice
610,eggs
610,bread
610,milk
611,cheese
612,banana
613,cheese
614,chocolate
614,butter
614,cheese
614,juice
614,banana
615,apple
616,milk
616,apple
617,eggs
617,chocolate
618,eggs
618,chocolate
618,butter
619,yogurt
619,bread
619,juice
619,cheese
619,butter
620,coffee
620,bread
620,cheese
620,chocolate
621,chocolate
621,cheese
621,eggs
622,apple
622,eggs
622,banana
622,coffee
622,milk
623,cheese
624,eggs
624,coffee
624,banana
625,banana
625,juice
626,cheese
626,yogurt
626,juice
626,apple
627,bread
627,banana
628,apple
628,milk
628,butter
629,juice
630,apple
631,chocolate
631,juice
632,apple
632,milk
633,coffee
633,eggs
633,yogurt
634,milk
635,yogurt
635,butter
635,apple
635,chocolate
635,eggs
636,yogurt
636,cheese
636,chocolate
636,apple
636,eggs
637,banana
638,milk
638,cheese
639,banana
639,chocolate
640,chocolate
640,coffee
640,bread
641,coffee
641,bread
641,apple
641,milk
641,banana
642,eggs
642,coffee
642,bread
642,apple
642,cheese
643,eggs
643,chocolate
643,juice
643,cheese
643,milk
644,banana
644,apple
644,bread
645,juice
645,eggs
645,banana
645,chocolate
645,coffee
646,banana
646,cheese
646,coffee
646,bread
647,apple
647,cheese
648,coffee
648,juice
649,yogurt
649,milk
649,coffee
649,cheese
649,butter
650,apple
650,butter
650,bread
651,milk
651,coffee
651,banana
651,juice
652,banana
652,milk
652,butter
652,juice
652,apple
653,coffee
653,bread
654,cheese
654,coffee
654,juice
655,cheese
655,coffee
655,banana
655,chocolate
656,bread
656,chocolate
656,coffee
656,yogurt
657,banana
657,apple
658,yogurt
658,apple
658,coffee
659,coffee
660,coffee
660,milk
661,chocolate
662,milk
662,coffee
662,chocolate
663,butter
663,banana
663,juice
663,chocolate
664,banana
664,eggs
664,cheese
664,milk
664,yogurt
665,eggs
665,apple
665,yogurt
666,milk
666,bread
666,butter
667,milk
668,banana
669,eggs
669,coffee
670,yogurt
670,cheese
671,juice
671,chocolate
671,milk
671,bread
672,cheese
672,butter
672,eggs
672,banana
673,cheese
673,juice
673,milk
674,bread
674,butter
674,yogurt
674,cheese
675,bread
675,cheese
675,apple
676,apple
676,milk
677,cheese
677,juice
677,banana
677,apple
678,eggs
679,yogurt
679,butter
679,eggs
679,coffee
679,chocolate
680,banana
680,apple
681,apple
681,eggs
681,milk
681,juice
681,butter
682,bread
682,cheese
682,butter
683,yogurt
683,chocolate
684,coffee
684,cheese
684,milk
685,juice
685,banana
685,coffee
686,milk
686,eggs
686,coffee
686,banana
686,cheese
687,yogurt
687,coffee
687,butter
688,coffee
688,bread
688,juice
688,chocolate
689,juice
689,eggs
690,cheese
690,yogurt
690,bread
690,banana
690,apple
691,eggs
691,butter
692,butter
692,eggs
692,milk
692,coffee
693,cheese
693,juice
693,yogurt
693,butter
694,butter
694,banana
694,juice
694,bread
694,apple
695,banana
695,juice
695,chocolate
696,cheese
696,yogurt
696,eggs
696,coffee
697,banana
697,milk
697,coffee
698,apple
698,cheese
698,milk
699,chocolate
699,butter
699,eggs
700,chocolate
700,bread
700,juice
700,milk
700,yogurt
701,bread
701,butter
701,chocolate
702,banana
702,juice
702,butter
702,apple
702,chocolate
703,apple
703,bread
703,banana
704,yogurt
704,milk
705,eggs
705,juice
705,cheese
705,milk
705,butter
706,banana
707,milk
707,yogurt
707,juice
708,banana
708,eggs
708,apple
708,coffee
708,butter
709,apple
709,banana
709,eggs
709,cheese
710,bread
710,eggs
711,coffee
711,eggs
711,banana
712,juice
712,banana
712,butter
713,milk
713,eggs
713,coffee
713,chocolate
713,bread
714,milk
714,yogurt
714,butter
714,juice
714,banana
715,eggs
716,eggs
716,cheese
716,coffee
716,juice
716,yogurt
717,coffee
717,banana
717,bread
718,chocolate
719,chocolate
720,eggs
720,coffee
720,chocolate
720,yogurt
721,eggs
721,milk
721,yogurt
721,bread
722,yogurt
722,chocolate
722,butter
723,cheese
723,eggs
724,apple
725,apple
725,butter
725,coffee
725,juice
725,cheese
726,eggs
726,bread
726,cheese
726,yogurt
727,apple
728,coffee
728,milk
728,yogurt
728,butter
729,chocolate
729,coffee
729,yogurt
729,cheese
730,milk
730,coffee
730,apple
731,apple
731,yogurt
732,coffee
732,eggs
732,yogurt
733,chocolate
733,cheese
733,juice
733,milk
733,eggs
734,butter
735,yogurt
735,coffee
735,cheese
736,chocolate
736,banana
737,milk
738,eggs
738,yogurt
739,eggs
740,coffee
740,yogurt
740,milk
740,apple
741,coffee
741,milk
742,butter
742,yogurt
742,juice
742,chocolate
743,cheese
743,coffee
743,yogurt
743,bread
743,chocolate
744,eggs
745,banana
745,juice
745,bread
746,coffee
746,eggs
746,juice
746,chocolate
746,apple
747,butter
748,apple
748,cheese
748,chocolate
748,yogurt
749,coffee
749,eggs
749,bread
749,juice
749,chocolate
750,coffee
750,milk
750,apple
751,juice
751,butter
752,cheese
752,yogurt
752,juice
752,eggs
752,bread
753,apple
754,cheese
754,coffee
754,chocolate
754,juice
755,milk
755,chocolate
756,bread
756,cheese
756,banana
757,yogurt
757,butter
757,milk
757,coffee
757,cheese
758,yogurt
758,banana
758,milk
758,coffee
759,juice
759,butter
759,banana
760,eggs
760,yogurt
761,yogurt
761,banana
761,butter
762,milk
762,yogurt
763,eggs
763,chocolate
764,eggs
764,butter
764,chocolate
764,coffee
764,apple
765,bread
765,coffee
765,apple
765,butter
766,milk
766,apple
767,coffee
767,butter
767,banana
768,bread
768,milk
768,coffee
769,cheese
770,eggs
770,banana
771,yogurt
771,apple
771,juice
771,bread
772,chocolate
772,juice
773,butter
773,banana
773,eggs
773,juice
774,milk
774,yogurt
775,chocolate
775,juice
775,milk
776,bread
776,cheese
776,banana
776,butter
777,yogurt
777,cheese
777,banana
777,juice
777,bread
778,butter
779,bread
779,chocolate
780,coffee
781,milk
782,juice
782,chocolate
782,milk
782,yogurt
783,milk
783,banana
783,yogurt
784,eggs
785,cheese
785,bread
785,coffee
785,juice
786,eggs
786,chocolate
786,coffee
787,juice
788,apple
788,bread
788,juice
788,banana
789,butter
789,coffee
789,banana
790,banana
790,milk
790,coffee
791,yogurt
791,apple
792,milk
792,cheese
792,juice
793,milk
793,eggs
793,bread
793,cheese
793,apple
794,butter
794,bread
795,milk
795,coffee
796,coffee
796,milk
796,bread
796,cheese
797,juice
797,milk
797,apple
798,banana
799,butter
799,chocolate
799,cheese
799,banana
800,yogurt
800,eggs
801,milk
801,cheese
801,coffee
801,banana
801,juice
802,milk
802,bread
802,cheese
802,coffee
802,juice
803,apple
803,bread
804,milk
804,bread
804,eggs
805,milk
805,eggs
805,apple
806,apple
807,bread
807,eggs
808,apple
809,chocolate
810,juice
811,cheese
811,eggs
811,apple
812,yogurt
812,juice
813,milk
814,apple
814,yogurt
815,coffee
816,eggs
816,juice
816,chocolate
816,bread
817,banana
817,bread
817,juice
817,eggs
818,cheese
818,coffee
818,yogurt
818,juice
818,milk
819,juice
819,eggs
820,bread
820,banana
820,eggs
821,banana
821,juice
822,cheese
822,chocolate
822,bread
823,butter
823,banana
823,chocolate
823,cheese
823,juice
824,coffee
824,milk
824,bread
824,eggs
825,coffee
825,bread
825,banana
825,cheese
825,eggs
826,coffee
826,bread
826,eggs
826,yogurt
826,apple
827,cheese
828,eggs
829,juice
829,bread
829,apple
829,chocolate
829,milk
830,cheese
831,apple
831,juice
832,butter
832,cheese
832,yogurt
833,butter
834,butter
834,bread
834,chocolate
834,coffee
835,yogurt
835,eggs
835,milk
835,bread
835,chocolate
836,cheese
836,yogurt
836,coffee
836,milk
836,chocolate
837,juice
837,bread
837,yogurt
838,yogurt
838,eggs
839,yogurt
839,juice
840,juice
840,yogurt
841,apple
841,bread
841,eggs
841,coffee
841,butter
842,cheese
